종목코드,종목명,내분류
277810,레인보우로보틱스,로봇
196170,알테오젠,바이오
214450,파마리서치,의료기기
108490,로보티즈,로봇
357780,솔브레인,반도체
039030,이오테크닉스,반도체
145020,휴젤,의료기기
087010,펩트론,바이오
000250,삼천당제약,제약
140860,파크시스템스,반도체
310210,보로노이,바이오
298380,에이비엘바이오,바이오
141080,리가켐바이오,바이오
247540,에코프로비엠,2차전지
064760,티씨케이,반도체
226950,올릭스,바이오
237690,에스티팜,바이오
086900,메디톡스,바이오
041510,에스엠,엔터
086520,에코프로,2차전지
095340,ISC,반도체
455290,디앤디파마텍,바이오
140410,메지온,바이오
388720,유일로보틱스,로봇
183300,코미코,반도체
084370,유진테크,반도체
058610,에스피지,로봇
241710,코스메카코리아,화장품
035900,JYP Ent.,엔터
078600,대주전자재료,2차전지
067160,SOOP,엔터
214430,아이쓰리시스템,방산/우주
348210,넥스틴,반도체
290650,엘앤씨바이오,의료기기
214370,케어젠,바이오
348370,엔켐,2차전지
122870,와이지엔터테인먼트,엔터
240810,원익IPS,반도체
068760,셀트리온제약,제약
035760,CJ ENM,엔터
466100,클로봇,로봇
053800,안랩,보안
215000,골프존,관광/카지노
058470,리노공업,반도체
214150,클래시스,의료기기
065350,신성델타테크,2차전지
160190,하이젠알앤엠,로봇
121600,나노신소재,2차전지
083650,비에이치아이,에너지
131290,티에스이,반도체
251970,펌텍코리아,화장품
171090,선익시스템,디스플레이
278280,천보,2차전지
222800,심텍,반도체
039200,오스코텍,바이오
323280,태성,기판
195940,HK이노엔,제약
189300,인텔리안테크,방산/우주
052400,코나아이,결제
393500,가온칩스,반도체
028300,HLB,바이오
101490,에스앤에스텍,반도체
215200,메가스터디교육,교육
131970,두산테스나,반도체
161580,필옵틱스,기판
319660,피에스케이,반도체
089030,테크윙,반도체
164290,하나머티리얼즈,반도체
365340,성일하이텍,2차전지
257720,실리콘투,화장품
253450,스튜디오드래곤,엔터
137400,피엔티,2차전지
036830,솔브레인홀딩스,지주
095610,테스,반도체
213420,덕산네오룩스,디스플레이
005290,동진쎄미켐,반도체
033100,제룡전기,전력설비
263750,펄어비스,게임
328130,루닛,AI
376300,디어유,엔터
058970,엠로,소프트웨어
319660,PSK,반도체
060370,LS마린솔루션,전선
352480,씨앤씨인터내셔널,화장품
218410,RFHIC,통신
042000,카페24,결제
078340,컴투스,게임
194480,데브시스터즈,게임
403870,HPSP,반도체
304100,솔트룩스,AI
036810,에프에스티,반도체
082270,젬백스,바이오
036930,주성엔지니어링,반도체
383310,에코프로에이치엔,환경
033500,동성화인텍,조선
178320,서진시스템,통신
112040,위메이드,게임
095660,네오위즈,게임
014620,성광벤드,조선
096530,씨젠,의료기기
067310,하나마이크론,반도체
098460,고영,로봇
179900,유티아이,2차전지
056190,에스에프에이,반도체
272290,이녹스첨단소재,반도체
030520,한글과컴퓨터,소프트웨어
007390,네이처셀,바이오
074600,원익QnC,반도체
204270,제이앤티씨,IT
032190,다우데이타,결제
101360,에오앤드림,2차전지
080220,제주반도체,반도체
018290,브이티,화장품
086450,동국제약,제약
358570,지아이이노베이션,바이오
009520,포스코엠텍,철강
053030,바이넥스,제약
293490,카카오게임즈,게임
032500,케이엠더블유,통신
060250,NHN한국사이버결제,결제
085660,차바이오텍,바이오
281740,레이크머티리얼즈,반도체
056080,유진로봇,로봇
232140,와이씨,반도체
211050,인카금융서비스,금융
059090,미코,반도체
079370,제우스,반도체
069080,웹젠,게임
200130,콜마비앤에이치,건기식
417200,LS머트리얼즈,2차전지
006730,서부T&D,부동산
060280,큐렉소,로봇
225570,넥슨게임즈,게임
108860,셀바스AI,AI
003380,하림지주,지주
253590,네오셈,반도체
025900,동화기업,2차전지
050890,쏠리드,통신
336570,원텍,의료기기
025980,아난티,관광/카지노
041190,우리기술투자,금융
222080,씨아이에스,2차전지
015750,성우하이텍,자동차
025320,시노펙스,IT
101730,위메이드맥스,게임
046890,서울반도체,반도체
036620,감성코퍼레이션,패션
048410,현대바이오,바이오
036540,SFA반도체,반도체
032820,우리기술,원전
