종목코드,종목명,내분류
282330,BGF리테일,유통
138930,BNK금융지주,은행/금융
001040,CJ,지주
000120,CJ대한통운,운송
097950,CJ제일제당,음식료
005830,DB손해보험,보험
000210,DL,지주
375500,DL이앤씨,건설
007340,DN오토모티브,자동차
383220,F&F,패션
114090,GKL,관광/카지노
078930,GS,지주
006360,GS건설,건설
007070,GS리테일,유통
009540,HD한국조선해양,조선
267250,HD현대,지주
443060,HD현대마린솔루션,조선
042670,HD현대인프라코어,건설기계
267260,HD현대일렉트릭,전력인프라
329180,HD현대중공업,조선
204320,HL만도,자동차
011200,HMM,운송
298050,HS효성첨단소재,화학
175330,JB금융지주,은행/금융
105560,KB금융,은행/금융
002380,KCC,화학
030200,KT,통신
033780,KT&G,음식료
003550,LG,지주
034220,LG디스플레이,전기전자
051900,LG생활건강,음식료
064400,LG씨엔에스,IT
373220,LG에너지솔루션,2차전지
032640,LG유플러스,통신
011070,LG이노텍,전기전자
066570,LG전자,전기전자
051910,LG화학,화학
079550,LIG넥스원,방산/우주
006260,LS,전력인프라
010120,LS ELECTRIC,전력인프라
035420,NAVER,IT
005940,NH투자증권,증권
010060,OCI홀딩스,태양광
005490,POSCO홀딩스,금속
010950,S-Oil,화학
034730,SK,지주
011790,SKC,2차전지
302440,SK바이오사이언스,바이오
326030,SK바이오팜,바이오
402340,SK스퀘어,지주
361610,SK아이이테크놀로지,2차전지
096770,SK이노베이션,2차전지
285130,SK케미칼,화학
017670,SK텔레콤,통신
000660,SK하이닉스,반도체
069260,TKG휴켐스,화학
139130,iM금융지주,은행/금융
035250,강원랜드,관광/카지노
010130,고려아연,금속
011780,금호석유화학,화학
073240,금호타이어,타이어
000270,기아,자동차
024110,기업은행,은행/금융
251270,넷마블,게임
006280,녹십자,제약
005250,녹십자홀딩스,지주
004370,농심,음식료
001680,대상,음식료
047040,대우건설,건설
003090,대웅,지주
069620,대웅제약,제약
006650,대한유화,2차전지
001440,대한전선,전력인프라
003490,대한항공,운송
192080,더블유게임즈,게임
026960,동서,음식료
006040,동원산업,지주
014820,동원시스템즈,2차전지
000150,두산,지주
454910,두산로보틱스,로봇
241560,두산밥캣,건설기계
034020,두산에너빌리티,원전
023530,롯데쇼핑,유통
280360,롯데웰푸드,음식료
004000,롯데정밀화학,화학
004990,롯데지주,지주
005300,롯데칠성,음식료
011170,롯데케미칼,화학
138040,메리츠금융지주,은행/금융
006800,미래에셋증권,증권
081660,미스토홀딩스,패션
002840,미원상사,화장품
268280,미원에스씨,화학
062040,산일전기,전력인프라
028050,삼성E&A,수자원
006400,삼성SDI,2차전지
028260,삼성물산,지주
207940,삼성바이오로직스,바이오
032830,삼성생명,보험
018260,삼성에스디에스,IT
0126Z0,삼성에피스홀딩스,바이오
009150,삼성전기,전기전자
005930,삼성전자,반도체
010140,삼성중공업,조선
016360,삼성증권,증권
029780,삼성카드,결제
000810,삼성화재,보험
003230,삼양식품,음식료
004490,세방전지,2차전지
001430,세아베스틸지주,금속
003030,세아제강지주,풍력
068270,셀트리온,바이오
004170,신세계,유통
055550,신한지주,지주
112610,씨에스윈드,풍력
090430,아모레퍼시픽,화장품
002790,아모레퍼시픽홀딩스,지주
002030,아세아,지주
137310,에스디바이오센서,바이오
005850,에스엘,자동차
012750,에스원,보안
278470,에이피알,화장품
450080,에코프로머티,2차전지
036570,엔씨소프트,게임
066970,엘앤에프,2차전지
111770,영원무역,패션
009970,영원무역홀딩스,지주
000670,영풍,금속
007310,오뚜기,음식료
271560,오리온,음식료
001800,오리온홀딩스,지주
316140,우리금융지주,은행/금융
000100,유한양행,제약
008730,율촌화학,화학
139480,이마트,유통
457190,이수스페셜티케미컬,2차전지
007660,이수페타시스,전기전자
030000,제일기획,광고
185750,종근당,제약
071320,지역난방공사,가스
035720,카카오,IT
323410,카카오뱅크,은행/금융
377300,카카오페이,결제
192820,코스맥스,화장품
005420,코스모화학,화학
120110,코오롱인더,화학
021240,코웨이,수자원
259960,크래프톤,게임
039490,키움증권,증권
003240,태광산업,화학
034230,파라다이스,관광/카지노
028670,팬오션,운송
022100,포스코DX,IT
047050,포스코인터내셔널,금속
003670,포스코퓨처엠,2차전지
103140,풍산,금속
086790,하나금융지주,은행/금융
352820,하이브,엔터
000080,하이트진로,음식료
036460,한국가스공사,가스
071050,한국금융지주,은행/금융
000240,한국앤컴퍼니,자동차
015760,한국전력,가스
017960,한국카본,조선
161890,한국콜마,화장품
161390,한국타이어앤테크놀로지,자동차
047810,한국항공우주,방산/우주
042700,한미반도체,반도체
008930,한미사이언스,지주
128940,한미약품,제약
009240,한샘,유통
014680,한솔케미칼,화학
018880,한온시스템,자동차
009420,한올바이오파마,바이오
300720,한일시멘트,시멘트
051600,한전KPS,원전
052690,한전기술,원전
180640,한진칼,지주
000880,한화,지주
088350,한화생명,보험
009830,한화솔루션,화학
272210,한화시스템,방산/우주
012450,한화에어로스페이스,방산/우주
082740,한화엔진,조선
042660,한화오션,조선
000720,현대건설,건설
086280,현대글로비스,운송
064350,현대로템,방산/우주
012330,현대모비스,자동차
069960,현대백화점,유통
017800,현대엘리베이터,지주
307950,현대오토에버,자동차
011210,현대위아,방산/우주
004020,현대제철,금속
005380,현대차,자동차
001450,현대해상,보험
008770,호텔신라,관광/카지노
298040,효성중공업,전력인프라
298020,효성티앤씨,화학
093370,후성,화학
